Name;m_Name;Vmag;Bmag;B-V;X;Y
 191; ;17.81;18.54; 0.72;   8; 178
 189; ;16.99;17.68; 0.69;  87; 178
 197; ;15.43;16.04; 0.61;-146; 174
 193; ;16.96;17.71; 0.75; 101; 176
 205; ;17.12;17.79; 0.66;-298; 172
 189;a;17.88;18.56; 0.69;  89; 176
 198; ;16.23;17.00; 0.77; -59; 174
 208; ;16.34;17.11; 0.77;-256; 171
 199; ;17.39;18.05; 0.66; -51; 173
 199;a;16.00;16.78; 0.79; -54; 172
 196; ;17.82;18.45; 0.63; 289; 173
 213; ;17.56;18.26; 0.70;-162; 170
 201; ;15.68;15.80; 0.12;  71; 171
 202; ;15.53;16.03; 0.50; 160; 171
 206; ;12.96;14.34; 1.38;  37; 169
 211; ;17.81;18.45; 0.65;  30; 169
 203; ;16.39;17.17; 0.78; 171; 170
 210; ;15.97;16.72; 0.75; 106; 169
 211;a;18.02;18.25; 0.23;  30; 168
 216; ;16.24;16.98; 0.74; 142; 166
 217; ;16.61;17.35; 0.75; 117; 165
 218; ;16.97;17.66; 0.69; 137; 165
 222; ;16.39;17.08; 0.70; -64; 163
 223; ;17.20;17.90; 0.70; -51; 163
 225; ;16.98;17.71; 0.73;-158; 160
 220; ;15.45;16.21; 0.76; 179; 163
 226; ;16.94;17.64; 0.70; -89; 160
 228; ;14.49;15.45; 0.96;   7; 159
 229; ;16.95;17.62; 0.67;  28; 158
 224; ;17.51;17.62; 0.10; 283; 159
 232; ;17.01;17.69; 0.68;-121; 154
 237; ;15.70;15.80; 0.10; -90; 153
 230; ;15.25;16.09; 0.84; 141; 155
 240; ;14.73;15.70; 0.98;-141; 152
 243; ;15.78;16.48; 0.71;-228; 151
 233; ;15.71;16.45; 0.75;  77; 154
 233;a;16.83;17.49; 0.67;  81; 153
 235; ;17.41;18.10; 0.69;  97; 153
 246; ;17.44;18.14; 0.70;-199; 149
 240;a;15.45;16.21; 0.76;-144; 149
 244; ;15.96;15.95;-0.01; -70; 150
 236; ;15.67;16.42; 0.75; 208; 152
 247; ;13.22;14.54; 1.33;-100; 147
 261; ;17.24;17.94; 0.69;-255; 144
 254; ;16.14;16.11;-0.03; -83; 146
 250; ;16.50;17.20; 0.71;  64; 146
 252; ;16.69;17.38; 0.69;  99; 146
 253; ;17.83;18.50; 0.68; 131; 145
 255;a;16.03;16.06; 0.03; -22; 144
 256; ;14.82;15.72; 0.90;  84; 144
 268; ;12.74;14.15; 1.41;-339; 139
 262; ;16.88;17.57; 0.69; -66; 142
 252;a;17.00;17.65; 0.66;  98; 143
 264; ;16.65;17.39; 0.73; -77; 141
 258; ;17.56;18.20; 0.64; 270; 143
 264;a;17.13;16.93;-0.20; -74; 140
 271; ;16.92;17.58; 0.66; -62; 138
 279; ;16.50;17.21; 0.72;-266; 135
 273; ;15.52;16.03; 0.51;  18; 138
 275; ;16.56;17.27; 0.70;  -5; 137
 280; ;17.76;18.44; 0.69;-210; 135
 278; ;16.84;17.55; 0.71;  11; 136
 266; ;14.67;15.59; 0.92; 302; 137
 276; ;17.81;18.50; 0.69; 215; 136
 291; ;16.20;16.92; 0.72;-333; 130
 284; ;15.74;16.52; 0.78;-104; 132
 277; ;17.84;18.52; 0.67; 285; 135
 282; ;17.70;18.42; 0.73;  74; 133
 281; ;14.77;15.67; 0.91;  96; 133
 285; ;17.20;17.91; 0.71;   8; 132
 283; ;15.39;15.93; 0.54; 121; 132
 282;a;15.52;16.05; 0.53;  77; 131
 293; ;15.41;16.23; 0.82; -42; 128
 287;a;13.74;14.84; 1.10; 111; 129
 290; ;17.30;17.93; 0.63;  35; 128
 298; ;17.63;18.31; 0.68;-127; 126
 292; ;15.02;15.89; 0.87;  42; 128
 297; ;17.21;17.92; 0.70; -61; 126
 296; ;17.42;18.12; 0.70;  18; 127
 301; ;16.72;17.43; 0.71; -53; 124
 304; ;14.12;15.18; 1.06; -70; 124
 305; ;16.34;17.06; 0.72; -85; 124
 308; ;16.26;16.98; 0.72; -97; 124
 303; ;17.07;17.79; 0.72;  44; 124
 302; ;16.06;16.80; 0.74;  37; 124
 300; ;16.65;17.37; 0.72;  87; 124
 305;a;15.58;15.77; 0.18; -88; 123
 317; ;17.51;18.18; 0.67; -41; 121
 310;a;16.70;17.41; 0.72;  -9; 121
 323; ;16.90;17.58; 0.68; -77; 121
 323;a;16.84;17.52; 0.68; -76; 120
 312; ;13.18;14.53; 1.36;  97; 122
 316; ;15.61;16.04; 0.43;  79; 121
 320; ;17.75;18.34; 0.59;  51; 121
 309; ;17.50;18.18; 0.68; 243; 122
 324; ;15.83;16.56; 0.73;  58; 120
 343; ;15.84;16.59; 0.75;-317; 116
 325; ;16.30;17.00; 0.70; 118; 119
 328; ;16.76;17.44; 0.68;  67; 119
 327; ;14.68;15.61; 0.93; 164; 119
 331; ;15.37;16.18; 0.82; -27; 117
 340; ;17.13;17.80; 0.67;-183; 116
 332; ;13.15;14.38; 1.23; -71; 116
 320;a;17.84;18.49; 0.65;  52; 117
 330; ;17.94;18.59; 0.66;  75; 117
 344; ;15.54;16.07; 0.52;-148; 114
 338; ;15.31;16.12; 0.82; -56; 115
 360; ;16.76;17.48; 0.71;-364; 110
 320;b;15.38;16.22; 0.85;  50; 114
 346; ;16.46;17.13; 0.68;-111; 113
 345; ;16.18;16.96; 0.78; -83; 113
 336; ;16.04;16.77; 0.72; 146; 115
 348; ;15.76;16.53; 0.77;-131; 112
 337; ;15.59;16.35; 0.76; 153; 115
 333; ;16.14;16.86; 0.72; 317; 115
 342; ;15.90;16.67; 0.77; 206; 114
 349; ;17.82;18.45; 0.63;  19; 112
 354; ;15.33;15.92; 0.60; -36; 110
 347; ;15.75;16.53; 0.78; 123; 112
 353; ;15.66;16.10; 0.44;  -5; 110
 371; ;16.87;17.58; 0.71;-217; 108
 355; ;14.09;15.16; 1.07;  44; 110
 342;a;17.47;18.13; 0.66; 207; 111
 356; ;15.69;16.13; 0.44;  90; 110
 358; ;16.48;16.35;-0.13;  52; 109
 359; ;17.72;18.35; 0.63;  13; 109
 378; ;15.70;15.75; 0.05;-229; 106
 377; ;16.30;17.08; 0.79;-178; 106
 367; ;17.10;17.81; 0.71; -63; 107
 352; ;17.01;16.77;-0.23; 227; 110
 364; ;16.47;17.21; 0.74;   6; 108
 362; ;16.61;17.30; 0.69;  60; 108
 365;a;17.35;18.03; 0.68;  23; 108
 368; ;17.86;18.52; 0.66; -12; 107
 369; ;17.30;18.01; 0.72;   0; 107
 379; ;16.94;17.65; 0.70;-132; 105
 366; ;17.84;18.51; 0.67;  77; 107
 363; ;17.61;18.27; 0.66; 167; 108
 376; ;17.68;18.30; 0.62; -23; 106
 374; ;17.75;18.37; 0.62;  16; 106
 382; ;17.37;17.54; 0.18;-185; 103
 370; ;17.56;18.26; 0.70; 129; 106
 375; ;17.26;17.93; 0.67; 105; 106
 363;a;17.19;17.87; 0.68; 166; 104
 381; ;17.33;18.00; 0.67;  82; 103
 385; ;17.76;18.44; 0.68;-165; 101
 383; ;17.00;17.61; 0.61; -40; 102
 384; ;15.28;15.94; 0.66;  76; 101
 393; ;17.79;18.48; 0.68;-187;  97
 390; ;16.81;17.52; 0.71; -60;  98
 394; ;14.91;15.57; 0.66;-141;  97
 387; ;17.93;18.57; 0.65; 188;  98
 388; ;15.54;16.31; 0.77; 207;  98
 401; ;17.69;18.37; 0.68;-177;  94
 407; ;17.69;18.39; 0.70;-296;  93
 400; ;17.71;18.37; 0.67; -90;  94
 392; ;17.30;18.04; 0.75; 137;  96
 389; ;16.74;17.44; 0.70; 360;  97
 403; ;17.23;17.90; 0.68;-151;  93
 396;a;17.49;18.15; 0.65;  48;  95
 396;b;15.53;16.35; 0.82;  51;  95
 396; ;15.21;16.09; 0.88;  46;  94
 414; ;17.10;17.82; 0.72;-287;  90
 404; ;17.08;17.78; 0.70; -57;  92
 409; ;14.93;15.81; 0.88;-114;  92
 410; ;16.36;17.10; 0.74; -94;  91
 408; ;17.31;18.01; 0.71; -80;  91
 397; ;13.75;14.92; 1.17; 229;  94
 402; ;17.51;18.18; 0.67;  81;  92
 400;a;17.31;17.98; 0.67; -90;  90
 405; ;17.01;17.68; 0.68;  84;  91
 406; ;17.20;17.91; 0.71;  57;  91
 404;a;16.50;17.27; 0.76; -55;  90
 416;c;17.49;18.12; 0.63; -62;  89
 416; ;17.25;17.95; 0.71; -65;  89
 423; ;16.81;17.54; 0.72;-331;  86
 418; ;16.46;17.21; 0.75;-162;  87
 411; ;16.94;17.66; 0.72; 243;  90
 416;b;14.62;15.46; 0.84; -62;  87
 413; ;17.21;17.90; 0.69;  98;  89
 415; ;17.74;18.39; 0.64; 168;  88
 416;a;15.20;15.97; 0.77; -65;  86
 417; ;17.27;17.94; 0.67; 164;  87
 420; ;17.07;17.74; 0.67;  91;  86
 419; ;18.04;18.69; 0.65; 175;  86
 422; ;15.87;16.60; 0.73;  78;  85
 421; ;17.78;18.46; 0.68; 246;  85
 431; ;14.61;15.53; 0.91; -77;  81
 435; ;17.20;17.87; 0.67;-161;  80
 424; ;13.43;14.68; 1.25; 141;  83
 428; ;17.68;18.35; 0.66; 112;  82
 429; ;17.92;18.57; 0.65;  76;  81
 430; ;17.44;18.07; 0.63;  81;  81
 435;a;16.60;17.31; 0.71;-159;  79
 429;a;16.97;17.67; 0.69;  74;  80
 441; ;17.32;18.03; 0.71;-109;  78
 432; ;17.22;17.94; 0.71; 163;  80
 434; ;16.17;16.14;-0.03; 147;  80
 442; ;16.88;17.53; 0.65; -93;  77
 436; ;17.71;18.38; 0.67; 101;  79
 437; ;14.13;15.10; 0.97; 125;  78
 444; ;15.46;15.67; 0.21;-135;  76
 438; ;15.75;15.82; 0.07; 140;  78
 432;a;17.53;18.10; 0.56; 160;  78
 455; ;17.99;18.66; 0.67;-155;  72
 446; ;17.84;18.53; 0.69; 153;  74
 452; ;16.89;17.61; 0.71;-161;  71
 447; ;17.78;18.47; 0.69;  97;  73
 462; ;16.24;16.97; 0.72;-329;  69
 445; ;16.27;16.21;-0.06; 288;  74
 455;a;17.76;18.15; 0.39;-156;  70
 448; ;17.48;18.17; 0.69;  92;  72
 449; ;16.20;16.96; 0.76; 146;  71
 453; ;16.01;16.80; 0.79;  85;  70
 454; ;16.41;17.17; 0.76; 114;  70
 460; ;16.27;17.04; 0.77;-102;  68
 466; ;15.30;16.12; 0.82;-207;  66
 451; ;17.24;17.90; 0.66; 228;  70
 453;a;17.71;18.36; 0.64;  86;  68
 454;a;17.65;18.32; 0.67; 114;  69
 448;a;15.50;16.32; 0.81;  93;  68
 469; ;17.13;17.77; 0.64;-216;  65
 468; ;14.85;15.73; 0.88;-150;  65
 463; ;13.19;14.53; 1.34; 101;  66
 461; ;15.43;16.23; 0.80; 192;  67
 467; ;17.91;18.56; 0.65; 121;  65
 474; ;13.96;14.93; 0.97;-107;  62
 474;a;16.56;17.32; 0.76;-110;  61
 472; ;15.66;15.88; 0.21; 129;  62
 485; ;17.75;18.44; 0.70;-202;  59
 476; ;17.54;18.26; 0.72; 100;  61
 470; ;16.57;17.30; 0.72; 265;  63
 473; ;17.32;18.01; 0.69; 163;  62
 478; ;17.08;17.80; 0.72; 118;  61
 477; ;14.65;15.49; 0.84; 141;  61
 486; ;16.37;17.11; 0.74;-105;  57
 487;a;17.24;17.90; 0.66;-100;  58
 481; ;17.50;18.17; 0.67; 179;  60
 480; ;17.83;18.53; 0.70; 204;  60
 494; ;16.48;17.22; 0.74;-226;  55
 495; ;14.57;15.39; 0.82;-204;  54
 503; ;15.26;16.07; 0.81;-379;  52
 486;a;14.43;15.31; 0.88;-108;  55
 488; ;17.68;18.37; 0.69; 142;  57
 490; ;16.58;17.27; 0.69; 118;  56
 484; ;17.76;18.41; 0.65; 239;  57
 494;a;15.61;16.03; 0.42;-228;  52
 504; ;17.71;17.79; 0.08;-207;  51
 491; ;16.19;16.87; 0.68; 164;  54
 505; ;14.48;15.46; 0.98;-187;  51
 489; ;17.56;18.27; 0.70; 397;  55
 497; ;17.69;18.39; 0.70; 152;  53
 499; ;17.85;18.50; 0.65; 116;  52
 518; ;15.70;15.79; 0.08;-324;  47
 498; ;15.60;16.05; 0.45; 277;  52
 501; ;16.73;17.43; 0.70; 112;  51
 502; ;18.06;18.70; 0.64; 173;  51
 507; ;17.46;18.14; 0.68; 108;  49
 501;a;17.98;18.65; 0.67; 111;  48
 526; ;15.41;15.86; 0.45;-353;  44
 507;a;17.87;18.53; 0.66; 106;  48
 520; ;14.51;15.34; 0.83;-130;  45
 512; ;15.94;15.95; 0.01; 125;  47
 513; ;17.89;18.54; 0.65; 136;  47
 515;a;16.84;17.52; 0.69; 175;  47
 524; ;17.79;17.28;-0.51;-136;  43
 512;a;17.56;18.25; 0.68; 128;  45
 536; ;16.91;17.64; 0.73;-302;  41
 509; ;14.51;15.36; 0.85; 361;  47
 528; ;14.60;15.51; 0.91;-152;  42
 515; ;14.83;15.78; 0.95; 174;  45
 511; ;16.45;17.16; 0.72; 382;  46
 514; ;17.82;18.79; 0.97; 270;  45
 519; ;17.75;18.45; 0.70; 169;  44
 521; ;16.66;17.47; 0.81; 149;  43
 522; ;17.45;18.16; 0.70; 132;  43
 542; ;15.49;15.92; 0.42;-248;  39
 523; ;15.71;15.84; 0.14; 207;  43
 525; ;16.07;16.10; 0.03; 107;  42
 522;b;16.53;17.27; 0.74; 136;  42
 529; ;15.86;15.92; 0.05; 119;  41
 539; ;17.18;17.84; 0.66;-123;  39
 545; ;16.61;17.35; 0.74;-233;  38
 522;a;16.48;17.27; 0.79; 130;  41
 525;a;17.05;17.71; 0.67; 107;  39
 535; ;17.47;18.18; 0.70; 181;  40
 549; ;17.08;17.77; 0.69;-287;  35
 540; ;16.32;17.09; 0.77; 101;  38
 548; ;16.04;16.77; 0.73;-159;  35
 541; ;17.80;18.49; 0.69; 132;  38
 544; ;17.89;18.55; 0.66; 120;  37
 550; ;16.25;17.02; 0.78;-116;  34
 544;a;13.67;14.90; 1.22; 123;  35
 543; ;15.67;16.12; 0.45; 340;  36
 559; ;15.39;16.23; 0.84;-109;  32
 572; ;14.91;15.79; 0.89;-354;  29
 562; ;17.14;17.79; 0.66;-122;  31
 565;c;18.00;18.65; 0.64;-136;  30
 565;b;17.24;17.92; 0.68;-135;  30
 544;b;14.66;15.61; 0.95; 124;  32
 551; ;17.41;18.12; 0.71; 190;  32
 552; ;12.84;14.21; 1.37; 109;  31
 562;a;17.65;18.35; 0.70;-124;  29
 552;a;17.91;18.58; 0.67; 112;  31
 564;a;17.66;18.30; 0.64; 165;  30
 565; ;13.96;14.93; 0.97;-132;  27
 576; ;15.72;16.49; 0.77;-148;  27
 556; ;16.72;17.45; 0.73; 294;  31
 580; ;16.04;16.79; 0.74;-193;  26
 552;b;17.48;18.22; 0.75; 110;  29
 564; ;15.74;16.54; 0.80; 166;  29
 567; ;16.56;17.28; 0.72; 124;  28
 565;a;16.22;16.92; 0.70;-128;  26
 581; ;15.62;16.07; 0.45;-112;  26
 563; ;16.81;17.45; 0.65; 244;  29
 569; ;16.26;16.98; 0.72; 175;  27
 570; ;15.69;16.06; 0.37; 202;  27
 571; ;17.92;18.59; 0.67; 208;  27
 580;a;15.13;15.99; 0.86;-190;  23
 578; ;13.29;14.59; 1.30; 106;  25
 585; ;17.81;18.42; 0.61; 111;  24
 582; ;15.59;15.74; 0.15; 134;  25
 594; ;16.29;16.95; 0.66;-113;  21
 587; ;17.01;17.69; 0.68; 159;  23
 586; ;16.63;17.33; 0.70; 189;  24
 596; ;17.54;18.19; 0.65;-174;  20
 574; ;15.68;16.46; 0.78; 432;  25
 590; ;16.43;17.18; 0.75; 115;  22
 598; ;15.96;15.96; 0.01;-121;  19
 589; ;16.30;16.20;-0.09; 254;  22
 592; ;17.56;18.24; 0.67; 214;  21
 588; ;16.39;17.10; 0.71; 298;  22
 593; ;17.52;18.22; 0.70; 182;  21
 598;a;16.04;16.78; 0.74;-120;  16
 595; ;14.54;15.48; 0.94; 272;  19
 614; ;13.11;14.46; 1.35;-161;  15
 600; ;14.66;15.62; 0.96; 112;  17
 616; ;16.01;16.73; 0.72;-196;  13
 601; ;16.62;17.32; 0.71; 122;  16
 621; ;16.55;16.45;-0.10;-206;  12
 599; ;17.76;18.41; 0.65; 424;  17
 602; ;16.67;17.67; 1.00; 411;  14
 619; ;16.65;17.39; 0.74; 108;  11
 615; ;16.94;17.63; 0.69; 169;  12
 611; ;16.61;17.32; 0.71; 339;  13
 622; ;15.73;16.50; 0.77; 150;  10
 617; ;13.73;14.91; 1.18; 263;  11
 626; ;17.75;18.42; 0.67;-188;   7
 624; ;15.51;16.34; 0.83; 144;   9
 627; ;17.64;18.34; 0.70;-132;   6
 631; ;16.95;17.50; 0.55;-224;   5
 631;a;17.55;18.23; 0.69;-227;   4
 636; ;17.53;18.23; 0.70;-141;   2
 625; ;17.95;18.63; 0.68; 247;   5
 629; ;17.40;18.11; 0.71; 195;   3
 633; ;17.28;17.93; 0.65; 139;   2
 639; ;17.57;18.25; 0.68;-197;  -1
 628; ;15.65;16.00; 0.35; 359;   4
 625;a;17.49;18.18; 0.69; 246;   3
 635; ;13.95;15.08; 1.14; 109;   1
 636;a;15.66;15.78; 0.13;-141;  -1
 641; ;15.12;16.02; 0.90;-125;  -1
 645; ;16.25;16.99; 0.74;-319;  -3
 634; ;17.04;17.75; 0.71; 234;   2
 649; ;16.77;17.53; 0.75;-207;  -4
 652; ;16.29;17.05; 0.76;-259;  -5
 656; ;16.18;16.94; 0.76;-266;  -5
 647; ;16.75;17.48; 0.73;-114;  -5
 650; ;17.08;17.80; 0.72;-133;  -5
 653; ;15.56;15.93; 0.37;-127;  -6
 643; ;17.72;18.40; 0.69; 166;  -3
 657; ;14.19;15.15; 0.95;-183;  -6
 644; ;15.72;15.85; 0.13; 132;  -4
 653;a;16.19;16.96; 0.76;-127;  -9
 655; ;15.14;15.99; 0.85; 144;  -7
 671; ;17.35;18.04; 0.69;-192; -11
 673; ;16.40;17.13; 0.74;-182; -11
 662; ;17.23;17.95; 0.72; 155;  -9
 670; ;14.55;15.34; 0.79;-117; -11
 663; ;14.44;15.44; 1.00; 131;  -9
 674; ;17.39;18.11; 0.72;-141; -12
 661; ;17.80;18.46; 0.65; 227;  -8
 658; ;17.82;18.53; 0.71; 269;  -8
 665; ;17.87;18.46; 0.59; 194;  -9
 679; ;15.96;16.67; 0.71;-167; -14
 662;a;16.85;17.55; 0.69; 153; -12
 668; ;15.90;16.67; 0.77; 285; -12
 677; ;18.03;18.67; 0.64; 118; -14
 681; ;16.60;17.37; 0.77;-127; -17
 687; ;13.77;14.96; 1.19;-368; -20
 675; ;17.78;18.45; 0.67; 341; -14
 685; ;16.52;17.24; 0.72;-172; -19
 684; ;16.29;16.96; 0.67;-116; -19
 682; ;17.65;18.32; 0.67; 125; -19
 695; ;16.50;17.24; 0.74;-151; -22
 683; ;14.81;15.64; 0.83; 212; -19
 697; ;15.36;16.16; 0.80;-163; -23
 686; ;16.63;17.34; 0.71; 174; -21
 688; ;15.51;15.98; 0.47; 133; -22
 691; ;17.24;17.91; 0.67; 113; -22
 689; ;18.13;18.81; 0.69; 191; -22
 686;a;17.92;18.62; 0.70; 171; -23
 694; ;15.50;16.05; 0.55; 161; -24
 702; ;17.82;18.52; 0.70;-233; -27
 701; ;15.64;15.74; 0.10;-166; -27
 689;a;15.60;16.02; 0.43; 189; -24
 698; ;17.87;18.33; 0.47; 127; -25
 699; ;16.02;16.82; 0.80; 113; -27
 705; ;17.39;18.51; 1.12;-142; -31
 700; ;16.41;17.14; 0.74; 250; -27
 708; ;14.68;15.63; 0.95;-112; -32
 704; ;16.66;17.39; 0.73; 182; -30
 700;a;15.60;16.10; 0.50; 248; -29
 711; ;16.94;17.58; 0.63;-147; -33
 708;a;17.57;18.27; 0.70;-115; -34
 713; ;17.60;18.26; 0.66;-134; -34
 714; ;17.17;17.87; 0.70;-121; -34
 725; ;15.35;16.20; 0.85;-325; -37
 720; ;17.79;18.48; 0.69;-231; -36
 721; ;17.18;17.87; 0.69;-194; -37
 710; ;17.84;18.56; 0.72; 114; -34
 709; ;17.15;17.92; 0.76; 185; -33
 723; ;17.46;18.12; 0.66;-136; -37
 717; ;17.01;17.73; 0.72; 164; -36
 706; ;17.26;17.92; 0.66; 405; -34
 716; ;17.79;18.45; 0.66; 197; -36
 719; ;17.47;18.15; 0.68; 160; -37
 722; ;17.21;17.91; 0.70; 127; -38
 737; ;16.91;17.64; 0.73;-297; -42
